name,address,addressObj/country,addressObj/postalcode,addressObj/state,cuisine,description,DietaryRestrictions,Dishes,Features,latitude,longitude,localAddress,MealType,numberOfReviews,phone,rankingDenominator,rankingPosition,rating,rawRanking
Taste Of Tibet,"5 Resthouse Road, Bengaluru 560025 India",India,560025,Karnataka,Chinese Indian Asian Tibetan     ,,Vegetarian Friendly   ,                       ,Takeout Seating Table Service                          ,12.97,77.61,"5 Resthouse Road, 560025",Lunch Dinner    ,19.0,+91 80 4147 8237,5993.0,682.0,4.5,3.17
Lime Light,"1, Golf Avenue, (Adjoining KGA Golf Course), Old Airport Road, Bengaluru 560008 India",India,560008,Karnataka,Chinese Indian International      ,"Warm, cosy and casual with bright, sunny colours and a fabulous view of the golf course, Lime Light is a 24x7 Café with a relaxed ambience and an internationally inspired menu. It also serves breakfast, lunch and dinner buffet featuring food from around the world.",Vegetarian Friendly Vegan Options  ,                       ,Reservations Buffet Seating Table Service                         ,12.96,77.64,"1, Golf Avenue, (Adjoining KGA Golf Course),, Old Airport Road, 560008",Breakfast Lunch Dinner Brunch  ,26.0,+91 96866 11406,5993.0,790.0,4.0,3.15
Mani's Dum Biryani,"Ground Floor No 15 1'st Main Road, Bengaluru 560034 India",India,560034,Karnataka,Indian        ,,Vegetarian Friendly Halal  ,                       ,Delivery Takeout Seating                          ,13.01,77.71,"Ground Floor No 15 1'st Main Road, 560034",Lunch Dinner    ,31.0,+91 80 4300 6111,5993.0,727.0,4.0,3.16
Tease,"Itpb Vivanta by Taj - Whitefield, Bengaluru 560066 India",India,560066,Karnataka,Indian Bar Fast Food International Pub    ,Set the pace for an electric night with dramatic views of the hotel’s landscaped garden and city skyline at our semi open-to-sky lounge & bar.,   ,                       ,Reservations Outdoor Seating Seating Parking Available Valet Parking Television Highchairs Available Wheelchair Accessible Serves Alcohol Full Bar Wine and Beer Accepts American Express Accepts Mastercard Accepts Visa Accepts Credit Cards Table Service Live Music Dog Friendly           ,12.98,77.74,"Itpb, Vivanta by Taj - Whitefield, 560066",Lunch Dinner Drinks   ,45.0,+91 80669 33333,6520.0,246.0,4.5,3.48
Thyme & Whisk,"56/1, Sri Krishna Towers, 9th Main Rd, 4th Block, 5th Block, Bengaluru 560041 India",India,560041,Karnataka,        ,,   ,                       ,Reservations                            ,12.92,77.58,"56/1, Sri Krishna Towers, 9th Main Rd, 4th Block, 5th Block, 560041",Lunch Dinner    ,9.0,+91 80 4097 7577,5993.0,1064.0,4.0,3.11
Samaroh,"No 7/1 Vittal Mallya Road, Bengaluru 560001 India",India,560001,Karnataka,Indian        ,,Vegetarian Friendly Vegan Options  ,Curry Paneer Thali Roti Shrikhand                   ,Reservations Seating Wheelchair Accessible Table Service                         ,12.97,77.6,"No 7/1 Vittal Mallya Road, 560001",Lunch Dinner    ,52.0,+91 98867 33600,5993.0,288.0,4.5,3.4
Peacock,"No. 57, 1st Floor, 100 Feet Road, Opposite Girias Showroom, Indiranagar, Bengaluru 560038 India",India,560038,Karnataka,Indian Asian       ,,Vegetarian Friendly   ,Fish                       ,Reservations Seating Validated Parking Table Service                         ,12.98,77.64,"No. 57, 1st Floor, 100 Feet Road, Opposite Girias Showroom, Indiranagar, 560038",Lunch Dinner    ,69.0,+91 96863 77667,5993.0,949.0,3.5,3.12
Kaapi Katte,"No 1160 Jawaharlal Nehru Road Beml Layout, Rajarajeshwari Nagar, Bengaluru 560072 India",India,560072,Karnataka,Indian Cafe       ,,Vegetarian Friendly Vegan Options  ,                       ,Takeout                            ,12.92,77.52,"No 1160 Jawaharlal Nehru Road, Beml Layout, Rajarajeshwari Nagar, 560072",Breakfast Brunch    ,38.0,+91 97390 93222,5993.0,374.0,4.5,3.32
Cafe Noir,"Court Yard Whitefield, Bengaluru 560066 India",India,560066,Karnataka,French Cafe European      ,,Vegetarian Friendly Vegan Options  ,Sandwiches Burger Salad Waffles Macarons Macaroons Fish                 ,Takeout Outdoor Seating Seating Parking Available Wheelchair Accessible Table Service                       ,12.98,77.74,"Court Yard Whitefield, 560066",Breakfast Lunch Dinner Brunch  ,82.0,+91 80672 66099,5993.0,573.0,3.5,3.21
Via Milano,"80 Feet Road 4th Floor, No. 8, 4th Block Koramangala, Bengaluru 560034 India",India,560034,Karnataka,Italian Pizza International European     ,"With comfortable seating amid a Mediterranean ambience, indulge your senses to fine Italian and European cuisine. Try pizzas freshly baked from our wood-fired oven, or simply unwind with a warm cup of cappuccino while you read out in the open. Tantalize your taste-buds with from our highly inspired pastas and mains.",Vegetarian Friendly Vegan Options  ,Pasta Lasagne Shrimp Salad Risotto Tiramisu Prawns Beef Lamb Antipasti Pesto Fish Pork           ,Takeout Reservations Outdoor Seating Buffet Seating Parking Available Television Serves Alcohol Wine and Beer Accepts American Express Accepts Mastercard Accepts Visa Cash Only Accepts Credit Cards Table Service Live Music             ,12.93,77.64,"80 Feet Road, 4th Floor, No. 8, 4th Block Koramangala, 560034",Lunch Dinner Brunch Late Night  ,129.0,+91 80 4130 9997,5993.0,365.0,4.0,3.33
Andhra Kafe,"202 Itpl Main Road Opposite Prestige Shantiniketan, New #198, Hoodi Village, Bengaluru 560066 India",India,560066,Karnataka,Indian Asian       ,,Vegetarian Friendly Vegan Options  ,Ice Cream Thali                      ,Delivery Takeout Reservations Seating Table Service                        ,12.99,77.73,"202 Itpl Main Road, Opposite Prestige Shantiniketan, New #198, Hoodi Village, 560066",Lunch Dinner    ,39.0,+91 80 2841 0222,5993.0,1004.0,3.5,3.11
Green Park Restaurant,"208 Bellary Road, Bengaluru 560064 India",India,560064,Karnataka,Asian        ,,   ,                       ,Reservations Table Service                           ,13.11,77.6,"208 Bellary Road, 560064",Breakfast Lunch Dinner   ,11.0,28566539,5993.0,469.0,4.5,3.25
Chichabas Taj,"50 M M Road Frazer Town, Bengaluru 560005 India",India,560005,Karnataka,Indian        ,,Vegetarian Friendly Halal  ,Roti                       ,Delivery Takeout Reservations Seating Table Service                        ,13.0,77.62,"50 M M Road, Frazer Town, 560005",Lunch Dinner    ,34.0,+91 80 4161 8888,5993.0,739.0,4.0,3.16
IDC Kitchen,"4 3'rd Cross Road Near Jain Temple, Gandhi Nagar, Bengaluru 560009 India",India,560009,Karnataka,Indian        ,,   ,                       ,                            ,13.0,77.58,"4 3'rd Cross Road, Near Jain Temple, Gandhi Nagar, 560009",Breakfast Lunch Dinner   ,8.0,+91 70226 49471,5993.0,670.0,5.0,3.18
Jalsa Gold Restaurant,"Sarjapur Outer Ring Road Block 12, Marathahalli, Kaverappa Layout, Kadubeesanahalli, Bengaluru 560103 India",India,560103,Karnataka,Indian Asian       ,"At Jalsa Gold, we strive to bring the spirit back by opening doors to a whole new experience. The decor is carefully crafted to reflect the celebratory experience of luxury dining. The food is handcrafted by our chef to bring alive global cuisine.",Vegetarian Friendly Vegan Options  ,                       ,Reservations Seating Serves Alcohol Full Bar Accepts American Express Accepts Mastercard Accepts Visa Table Service                     ,12.94,77.7,"Sarjapur Outer Ring Road, Block 12, Marathahalli, Kaverappa Layout, Kadubeesanahalli, 560103",Lunch Dinner    ,48.0,+91 80 4965 3456,5993.0,330.0,4.0,3.36
MARRIOT BONVOI,"17c Sadaramangala Road Aloft Hotel, Bengaluru 560001 India",India,560001,Karnataka,International Asian       ,,Vegetarian Friendly Vegan Options Halal ,Fish                       ,Reservations Outdoor Seating Buffet Seating Parking Available Free off-street parking Television Highchairs Available Wheelchair Accessible Serves Alcohol Full Bar Accepts American Express Accepts Mastercard Accepts Visa Digital Payments Free Wifi Accepts Credit Cards Table Service Family style Non-smoking restaurants         ,13.01,77.74,"17c Sadaramangala Road, Aloft Hotel, 560001",Breakfast Lunch Dinner Brunch  ,54.0,+91 80667 07777,5993.0,249.0,4.5,3.46
Konark,"No 50 Field Marshal Cariappa Road Near Bishop Cotton Girls School, Bengaluru 560025 India",India,560025,Karnataka,Indian Asian       ,,Vegetarian Friendly Vegan Options  ,Paneer Roti                      ,Takeout Seating Parking Available Table Service                         ,12.97,77.6,"No 50 Field Marshal Cariappa Road, Near Bishop Cotton Girls School, 560025",Breakfast Lunch Dinner Brunch Late Night ,165.0,+91 80 4124 8812,5993.0,185.0,4.0,3.63
Khandani Rajdhani,"Ub City Mall, 209 & 210, Level-2, Vittal Mallya Road, Bengaluru 560001 India",India,560001,Karnataka,Indian        ,,Vegetarian Friendly Vegan Options  ,                       ,Reservations Seating Table Service                          ,12.97,77.59,"Ub City Mall, 209 & 210, Level-2, Vittal Mallya Road, 560001",Lunch Dinner    ,17.0,+91 80 2213 3400,5993.0,713.0,4.5,3.16
The Punjabi Rasoi,"152/1 2'nd Main Road, Near Bda Complex, Bengaluru 560038 India",India,560038,Karnataka,Indian Asian       ,,Vegetarian Friendly Vegan Options  ,Paneer Roti                      ,Delivery Takeout Reservations Seating Table Service                        ,12.98,77.64,"152/1 2'nd Main Road, Near Bda Complex, 560038",Lunch Dinner    ,50.0,+91 80 4128 5353,5993.0,388.0,4.0,3.3
Tipsy Bull - The Bar Exchange,"Bellandur Service Road, Bengaluru 560038 India",India,560038,Karnataka,Bar Pub       ,,   ,                       ,Reservations Seating Serves Alcohol Table Service                         ,12.96,77.64,"Bellandur Service Road, 560038",     ,51.0,+91 98869 84357,5993.0,895.0,3.5,3.13
Big Barrel Microbrewery,"199/20/1/A Rr Nagar 3rd Floor 2nd Main Road Dr Vishnuvardhan Rd, Bengaluru 560060 India",India,560060,Karnataka,Brew Pub Pub       ,"Welcome to Big Barrel Microbrewery, Bangalore's finest brewery near Rajajinagar. As Bangalore's leading brewery, we're more than just a restaurant. We're the ultimate destination to enjoy amazing flavors and joyous moments with family and friends. We take pride in crafting the finest, most flavorsome beers that will tantalize your taste buds and our team of passionate brewers creates an impressive array of handcrafted beers, each sip an adventure. We extend beyond exceptional brews to offer you a culinary experience at Big Barrel: Experience a diverse menu of unique, mouthwatering dishes, thoughtfully curated by our talented chefs. There is something for everyone when it comes to fusion delights and traditional favorites with a contemporary twist. Whether you are a connoisseur or a beer enthusiast, we have something unique to entice your palate. Cheers to unforgettable beer and cherished moments at Bangalores best brewery!",   ,                       ,Takeout Reservations Outdoor Seating Buffet Private Dining Seating Parking Available Validated Parking Valet Parking Serves Alcohol Wine and Beer Accepts Credit Cards Table Service Family style               ,12.9,77.51,"199/20/1/A Rr Nagar 3rd Floor 2nd Main Road Dr Vishnuvardhan Rd, 560060",Breakfast Lunch Dinner Brunch Late Night Drinks,18.0,063664 66444,5993.0,346.0,5.0,3.34
Nagarjuna Chimney,"55 22nd Cross Road, Bengaluru 560011 India",India,560011,Karnataka,Indian        ,,Vegetarian Friendly Vegan Options  ,                       ,Delivery Takeout Seating Table Service                         ,12.93,77.59,"55 22nd Cross Road, 560011",Lunch Dinner    ,44.0,+91 80 2664 9944,5993.0,652.0,4.0,3.18
Cafe Mozaic,"41 Mahatma Gandhi Road Vivanta By Taj, Bengaluru 560001 India",India,560001,Karnataka,Indian Cafe International Asian     ,,Vegetarian Friendly Vegan Options Gluten Free Options ,Ice Cream Juice & Smoothies Pasta Salad Curry Pesto Fish Paneer                ,Reservations Outdoor Seating Seating Parking Available Validated Parking Valet Parking Highchairs Available Wheelchair Accessible Full Bar Table Service Live Music                  ,12.97,77.62,"41 Mahatma Gandhi Road, Vivanta By Taj, 560001",Breakfast Lunch Dinner Brunch Late Night ,158.0,+91 80666 04444,5993.0,238.0,4.0,3.48
La Tapenade Mediterranean Cafe,"Kempegowda International Airport, Bengaluru 562300 India",India,562300,Karnataka,Mediterranean        ,,Vegetarian Friendly Vegan Options  ,                       ,Takeout Seating Wheelchair Accessible Table Service                         ,13.2,77.71,"Kempegowda International Airport, 562300",Breakfast Lunch Dinner   ,34.0,,5993.0,809.0,4.0,3.14
Galito's,"172/1, Bannerghatta Road Vegacity Mall, Unit Restaurant 2, 3rd Floor, Srinivas Industrial Estate, Bengaluru 560076 India",India,560076,Karnataka,African Arabic       ,,   ,                       ,                            ,12.91,77.6,"172/1, Bannerghatta Road, Vegacity Mall, Unit Restaurant 2, 3rd Floor, Srinivas Industrial Estate, 560076",     ,5.0,+91 80 3351 2981,5993.0,1131.0,4.5,3.1
Oia,"Hennur Main road, New Airport Road Opp Mantri Webcity, Bengaluru 560077 India",India,560077,Karnataka,Indian International Pub Gastropub     ,,   ,                       ,Reservations Outdoor Seating Private Dining Seating Valet Parking Wheelchair Accessible Serves Alcohol Full Bar Wine and Beer Digital Payments Accepts Credit Cards                  ,13.02,77.63,"Hennur Main road, New Airport Road, Opp Mantri Webcity, 560077",Lunch Dinner Brunch Drinks  ,4.0,+91 96060 31145,5993.0,5667.0,3.0,2.99
Meghana Foods,"# 52 33rd Cross Near Cafe Coffee Day, Bengaluru 560011 India",India,560011,Karnataka,Indian Asian       ,,Vegetarian Friendly Halal  ,Chili Fish Paneer                     ,Delivery Takeout Seating Table Service                         ,12.93,77.58,"# 52 33rd Cross, Near Cafe Coffee Day, 560011",Lunch Dinner    ,94.0,+91 80 2244 8080,5993.0,479.0,4.0,3.25
Earth Kitchen,"Nrityagram Road, Near Taj Kuteeram Behind Taj Kuteeram, Hessarghatta, Bengaluru 560088 India",India,560088,Karnataka,Indian Mediterranean Middle Eastern      ,"Earth Kitchen, a homestay in Bangalore - set amidst a young forest on a farm - welcomes its guests with the warmth of a home, the comfort of a resort and cuisine at par with the best boutique restaurants.",   ,                       ,                            ,13.16,77.47,"Nrityagram Road, Near Taj Kuteeram, Behind Taj Kuteeram, Hessarghatta, 560088",Breakfast Lunch Dinner   ,8.0,+91 99166 68738,6520.0,1657.0,4.5,3.07
Imperial Restaurant,"No 94 - 95 Residency Road Opposite Bharat Petrol Bunk, Bengaluru 560025 India",India,560025,Karnataka,Indian Asian       ,,Vegetarian Friendly Halal  ,                       ,Delivery Takeout Seating Table Service                         ,12.97,77.61,"No 94 - 95 Residency Road, Opposite Bharat Petrol Bunk, 560025",Breakfast Lunch Dinner Late Night  ,113.0,+91 80 2591 3738,5993.0,437.0,4.0,3.27
Galito's Flame Grilled Chicken,"120, Ground Floor, EPIP Zone, ITPL Main Road, Whitefield Near BMTC Bus Depot, Bengaluru 560066 India",India,560066,Karnataka,African Portuguese       ,"Galito's is the best tasting flame grilled chicken in the world, with massive flavour right through. Our traditional marinade is made from all natural ingredients infused with select herbs and spices. Slowly marinated for at least 24 hours, flame grilled to perfection and served to order, making it the healthiest, tastiest flame grilled chicken in town.",Vegetarian Friendly   ,Ice Cream Burger Salad Wings Toasts                   ,Delivery Takeout Reservations Seating Parking Available Street Parking Validated Parking Free off-street parking Highchairs Available Accepts Mastercard Accepts Visa Digital Payments Cash Only Free Wifi Table Service              ,12.98,77.73,"120, Ground Floor, EPIP Zone, ITPL Main Road, Whitefield, Near BMTC Bus Depot, 560066",Lunch Dinner    ,30.0,+91 80 4641 1411,6520.0,501.0,4.5,3.26
Sri Saravana Bhavan,"89, Ebrahim Sahib Street, Near Corporation Bank, Shivaji Nagar, Bengaluru 560051 India",India,560051,Karnataka,        ,,   ,                       ,                            ,12.98,77.61,"89, Ebrahim Sahib Street, Near Corporation Bank, Shivaji Nagar, 560051",     ,8.0,+91 80 2559 1665,5993.0,1029.0,4.5,3.11
Golden Oak,"1 14th Cross La Marvella Hotel, Bengaluru 560011 India",India,560011,Karnataka,Italian Chinese Indian Asian     ,,Vegetarian Friendly   ,                       ,Takeout Reservations Buffet Seating Parking Available Validated Parking Valet Parking Free off-street parking Television Wheelchair Accessible Serves Alcohol Full Bar Accepts American Express Accepts Visa Accepts Credit Cards Table Service             ,12.94,77.58,"1 14th Cross, La Marvella Hotel, 560011",Breakfast Lunch Dinner   ,39.0,+91 80 4333 5333,5993.0,491.0,4.0,3.24
Saga,"Hebbal Bellary Road,, Bengaluru India",India,,Karnataka,Indian International Asian      ,Indian & continental - Food is very good. Good service. Decor... acceptable. 30 minutes to Bangalore airport. It is also a good budgetary hotel.,Vegan Options   ,                       ,Reservations Seating Table Service                          ,13.04,77.59,"Hebbal, Bellary Road,",Lunch Dinner    ,19.0,,5993.0,859.0,4.0,3.13
Ithaca,"135 Residency Road The Chancery Pavilion, Bengaluru 560025 India",India,560025,Karnataka,Indian        ,"Pavilion’s gourmet experiences is Ithaca, the all-day dining restaurant. Parisian street café meets fine dining chic at Ithaca. The restaurant is constantly abuzz with diners looking for a bite of global and Mediterranean cuisine.",Vegetarian Friendly Vegan Options  ,                       ,Reservations Outdoor Seating Buffet Seating Parking Available Validated Parking Valet Parking Highchairs Available Wheelchair Accessible Serves Alcohol Full Bar Table Service                 ,12.97,77.6,"135 Residency Road, The Chancery Pavilion, 560025",Breakfast Lunch Dinner Brunch  ,79.0,+91 80 4141 4212,5993.0,159.0,4.5,3.71
Hotel Aditya,"159 Opposite Nandini Theater 6th Main Rd, Mahalakshmi Puram, Bovipalya, Nagapura, Bengaluru, Karnataka, Bengaluru 560086 India",India,560086,Karnataka,        ,,   ,                       ,                            ,13.01,77.54,"159 Opposite Nandini Theater, 6th Main Rd, Mahalakshmi Puram, Bovipalya, Nagapura, Bengaluru, Karnataka, 560086",     ,8.0,+91 97310 15011,5993.0,916.0,4.5,3.12
Au Bon Pain,"970 12th Main HAL 2nd stage, Near South Indian Bank, Indiranagar, Bengaluru 560038 India",India,560038,Karnataka,Cafe        ,,   ,Juice & Smoothies Sandwiches Pasta Bagels Salad Pesto Cakes                 ,Takeout Seating                           ,12.94,77.55,"970 12th Main, HAL 2nd stage, Near South Indian Bank, Indiranagar, 560038",Breakfast Lunch    ,107.0,+91 80 6547 5313,5993.0,838.0,3.5,3.14
Pasta Street,"37/2 Chicago Avenue 37/2 Cunnigham Road, Chicago Avenue, Bengaluru 560052 India",India,560052,Karnataka,Italian Pizza European Wine Bar     ,"Pasta Street offers mouth watering dishes of flavor-packed Pastas, Thin crust pizzas, Soups, Salads and other Italian specials such as, Lasagna, Risotto, Ravioli, Grilled Chicken, Fish & Paneer and scrumptious Desserts. Enjoy the ambiance with cocktails, mocktails or peruse the wine bar stocked with a wide range of domestic and imported wines.",Vegetarian Friendly Vegan Options  ,Pasta Salad Pesto Penne                    ,Delivery Takeout Reservations Outdoor Seating Seating Parking Available Valet Parking Television Highchairs Available Wheelchair Accessible Serves Alcohol Accepts American Express Accepts Mastercard Accepts Visa Digital Payments Cash Only Free Wifi Accepts Credit Cards Table Service          ,12.99,77.59,"37/2 Chicago Avenue, 37/2 Cunnigham Road, Chicago Avenue, 560052",Lunch Dinner    ,94.0,+91 80 4097 6578,6520.0,217.0,4.5,3.57
Banjara Melting Pot,"G 117/118 Point Building Ground Floor Cunningham Road Diagonally Opposite Whitefield Honda Showroom, Bengaluru 560052 India",India,560052,Karnataka,Indian Asian Healthy      ,"Banjara Melting Pot is the fusion of two cordon bleu brands belonging to two equally vibrant cities – Mumbai and Bengaluru. Select a pan-aromatic Asian menu, an essential ingredient in all sections of the culinary world.Choose between an elaborate multi cuisine full course paired by international wine and the best of single malts. Browse, touch and select your fare right till the exact spice and flavor of your choice, pioneered by our online iPad menu.",Vegetarian Friendly Vegan Options Gluten Free Options ,Cheesecake Curry Prawns Fish Paneer Roti                  ,Delivery Takeout Reservations Seating Parking Available Serves Alcohol Table Service                      ,12.99,77.59,"G 117/118 Point Building Ground Floor Cunningham Road, Diagonally Opposite Whitefield Honda Showroom, 560052",Lunch Dinner Late Night   ,111.0,+91 80 4123 1772,5993.0,191.0,4.5,3.61
Spice It Restaurant,"Hotel Ibis Techpark, Outer Ring Road, Bellandur Opposite Intel Campus, Bengaluru 560060 India",India,560060,Karnataka,Indian International Asian      ,,Vegetarian Friendly Vegan Options  ,Salad Fish                      ,Reservations Seating Validated Parking Wheelchair Accessible Serves Alcohol Table Service                       ,12.93,77.68,"Hotel Ibis Techpark, Outer Ring Road, Bellandur, Opposite Intel Campus, 560060",Breakfast Lunch Dinner Brunch  ,57.0,+91 80667 00600,5993.0,464.0,4.0,3.26
Biergarten,"4th B Cross, Koramangala 5th Block, Bengaluru 560095 India",India,560095,Karnataka,        ,,   ,                       ,Reservations                            ,12.93,77.61,"4th B Cross, Koramangala 5th Block, 560095",     ,9.0,+91 80 4965 3208,5993.0,764.0,4.5,3.15
Kobe Sizzlers,"McGrath Road Garuda Mall, 5th Floor, Bengaluru 560025 India",India,560025,Karnataka,International        ,,Vegetarian Friendly   ,Noodle Pasta Burger Salad Beef Pesto Fish Paneer                ,Takeout Reservations Seating Parking Available Table Service                        ,12.97,77.61,"McGrath Road, Garuda Mall, 5th Floor, 560025",Breakfast Lunch Dinner Late Night  ,212.0,+91 80 6560 0872,5993.0,355.0,3.5,3.33
Bangalore Brew Works,"Residency Road _ 10th Level Prestige Towers, 99/100, Residency Road Rooftop, Bengaluru India",India,,Karnataka,Bar Pub       ,,Vegetarian Friendly   ,Pasta Pesto                      ,Reservations Outdoor Seating Seating Parking Available Serves Alcohol Full Bar Table Service                      ,12.97,77.6,"Residency Road _ 10th Level Prestige Towers, 99/100, Residency Road, Rooftop",Lunch Dinner    ,106.0,+91 97407 04422,76.0,15.0,4.0,3.45
Chulha Chowki Da Dhaba,"No 13 7th Cross Opposite RV Dental College, Bengaluru 560078 India",India,560078,Karnataka,Chinese Indian Asian      ,This is near to the 24th Main of J P Nagar.,Vegetarian Friendly Vegan Options  ,Paneer Roti                      ,Delivery Takeout Seating Parking Available Table Service                        ,12.96,77.72,"No 13 7th Cross, Opposite RV Dental College, 560078",Lunch Dinner    ,72.0,+91 80 3232 7799,5993.0,367.0,4.0,3.32
Restaurant Chef Pillai,"E1/94, Opp.Phoenix Market, Mahadevapura Whitefield Main Road, Bengaluru 560048 India",India,560048,Karnataka,Indian Asian       ,"Restaurant Chef Pillai is the maiden restaurant of Chef Pillai in Whitefield, Bangalore. We present Chef Pillai Signature dishes like Fish Nirvana, Nikkah Biriyani as well as unique starters, mains and desserts all with the special Chef Pillai flavours. These unique flavours and tastes are created from authentic, seasonal & handpicked ingredients, sourced from their original territories. From seafood to red chilies, every item is selected with the highest scrutiny. It is all these ingredients that go into the specialized cooking process to end up as the delicious, cuisine on your plate. We are on a mission to give you original ingredients, cooked with traditional expertise and modern methods that finally creates a dish of satisfying flavours. Like we say ‘Crabs from Ashtamudi, Nikkah Biriyani from Malabar, Nirvana fish from Kerala, and fans from all over the world!’. We let the flavours of food do the talking.",   ,Fish                       ,Delivery Takeout Reservations Seating Parking Available Valet Parking Television Accepts American Express Accepts Mastercard Accepts Visa Accepts Credit Cards Table Service Family style Non-smoking restaurants               ,13.0,77.7,"E1/94, Opp.Phoenix Market, Mahadevapura, Whitefield Main Road, 560048",Lunch Dinner    ,14.0,+91 89431 50000,5993.0,2659.0,3.0,3.03
Art Blend Cafe,"659 24th Main 2nd Sector, Near Parangi Palya Bus Stop, HSR Club Road, HSR Layout, Bengaluru 560102 India",India,560102,Karnataka,Italian American Indian Cafe     ,"Art Blend - Coffee with a Hobby aspires to create a space for artists as well as those with an artistic germ, coffee lovers or lovers of conversation.Its the ideal place for meeting up with friends, spending quality time with those you love, learning a new craft, painting with some caffeine kick, or simply to dig into that book you have been wanting to finish from a long time...",Vegetarian Friendly   ,                       ,Reservations Seating Table Service                          ,13.01,77.53,"659 24th Main, 2nd Sector, Near Parangi Palya Bus Stop, HSR Club Road, HSR Layout, 560102",Breakfast Lunch Dinner   ,28.0,+91 98867 82062,5993.0,2655.0,3.5,3.03
The Tao Terraces,"5th Floor, 1 MG Mall, Opposite Vivanta by Taj, MG Road, Bengaluru India",India,,Karnataka,Chinese Asian Thai Shanghai Hong Kong    ,,Vegetarian Friendly Vegan Options  ,Noodle Chili Prawns Fried rice Fish Pork                  ,Reservations Outdoor Seating Seating Parking Available Valet Parking Serves Alcohol Full Bar Table Service                     ,12.97,77.62,"5th Floor, 1 MG Mall, Opposite Vivanta by Taj, MG Road",Lunch Dinner Late Night Drinks  ,166.0,+91 98866 40445,5993.0,316.0,3.5,3.37
Vaathsalya Millet Cafe,"No 277 Outer Ring Road Near ICICI Bank, Bengaluru 560078 India",India,560078,Karnataka,Indian Cafe Healthy      ,,Vegetarian Friendly Vegan Options  ,Thali Roti                      ,Takeout Seating Table Service                          ,12.91,77.59,"No 277 Outer Ring Road, Near ICICI Bank, 560078",Lunch Dinner    ,26.0,+91 94490 64494,5993.0,641.0,4.0,3.19
Lakshmi Natraja Refreshments,"126 Akkipete Main Road Near Union Bank of India, Bengaluru 560053 India",India,560053,Karnataka,Indian Fast Food       ,,Vegetarian Friendly Vegan Options  ,                       ,Takeout                            ,12.97,77.57,"126 Akkipete Main Road, Near Union Bank of India, 560053",Lunch Dinner Brunch   ,23.0,+91 80 2597 0312,5993.0,468.0,4.5,3.25
Nevermind Bar & Social,"12th Main Rd, HAL 2nd Stage No.614, 615, Bengaluru 560008 India",India,560008,Karnataka,Indian Bar Mediterranean Asian Contemporary    ,"An eclectic, high energy Bar & Restaurant in the heart of Indiranagar serving Pan - Asian, Continental & Modern Indian cuisine along with Experimental Cocktails.",   ,                       ,Reservations Outdoor Seating Private Dining Seating Parking Available Valet Parking Television Highchairs Available Serves Alcohol Full Bar Wine and Beer Digital Payments Free Wifi Accepts Credit Cards Table Service              ,12.97,77.65,"12th Main Rd, HAL 2nd Stage, No.614, 615, 560008",Lunch Dinner Brunch Late Night Drinks ,14.0,+91 91108 41695,6520.0,535.0,5.0,3.24
Bombay Curry House,"No. 12, Ground Floor, Embassy Manyata Tech Park NXT Tower 2, Outer Ring Road, Nagawara, B.B.M.P. North, Bengaluru 560045 India",India,560045,Karnataka,Italian Indian European Asian     ,Multi Cuisine Vegetarian Restaurant With Fine Ambience,   ,                       ,Outdoor Seating Seating Parking Available Valet Parking Digital Payments Family style                       ,13.04,77.62,"No. 12, Ground Floor, Embassy Manyata Tech Park, NXT Tower 2, Outer Ring Road, Nagawara, B.B.M.P. North, 560045",Breakfast Lunch Dinner Brunch Late Night ,2.0,+91 91139 82902,5993.0,1360.0,5.0,3.08
Hunan,"Samruddhi Building 10 Above Reliance Fresh 1st Floor 1'st Main Road New Bel Road Opposite California Pizza Kitchen, 5th Block, Koramangala, Bengaluru 560095 India",India,560095,Karnataka,Chinese Asian Thai Szechuan Shanghai Hong Kong   ,,Vegetarian Friendly   ,Noodle Dumplings Ribs Salad Chili Duck Fried rice Fish Pork               ,Delivery Takeout Reservations Seating Parking Available Valet Parking Table Service                      ,12.93,77.62,"Samruddhi Building 10 Above Reliance Fresh 1st Floor 1'st Main Road New Bel Road, Opposite California Pizza Kitchen, 5th Block, Koramangala, 560095",Lunch Dinner Late Night   ,138.0,+91 80 2341 3337,5993.0,270.0,4.0,3.44
Boho,"105, 1st Main, KHB Colony, Jyothi Nivas College Road Koramangala 5th Block, Bengaluru 560079 India",India,560079,Karnataka,Bar Pub       ,,   ,                       ,Reservations Seating Table Service                          ,12.93,77.62,"105, 1st Main, KHB Colony, Jyothi Nivas College Road, Koramangala 5th Block, 560079",Dinner     ,18.0,+91 80 4965 3033,5993.0,1555.0,3.5,3.06
Nandi Grand Restaurant,"Kolar Road Dasarahalli Post, Kasaba Hobli, Bengaluru 562114 India",India,562114,Karnataka,Indian Asian       ,,Vegetarian Friendly Vegan Options  ,                       ,Takeout Seating Table Service                          ,13.29,77.79,"Kolar Road, Dasarahalli Post, Kasaba Hobli, 562114",Breakfast Lunch Dinner Brunch  ,18.0,,5993.0,860.0,4.0,3.13
Shangrila,"181, Near 5th Avenue Mall, Brigade Road, Bengaluru 560025 India",India,560025,Karnataka,Chinese Thai       ,,   ,                       ,Reservations Seating Table Service                          ,12.97,77.61,"181, Near 5th Avenue Mall, Brigade Road, 560025",Breakfast Dinner    ,23.0,+91 80 2558 8994,5993.0,305.0,4.5,3.38
